zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,1,0,1.0986122886681096,4.709530201312334,7.518064181233078
0,1,0,0,1.6094379124341003,5.638354669333745,8.81001204797317
0,1,0,0,0.6931471805599453,3.713572066704308,6.68586094706836
0,0,1,0,1.0986122886681096,4.61512051684126,7.601402334583733
0,0,1,0,1.791759469228055,5.707110264748875,10.165890277802454
0,0,0,1,1.0986122886681096,4.110873864173311,7.3783837129967145
0,0,1,0,1.0986122886681096,4.736198448394496,7.550135342488429
1,0,0,0,1.791759469228055,6.07073772800249,9.305741456739435
0,0,1,0,0.6931471805599453,3.4339872044851463,6.85751406254539
1,0,0,0,1.0986122886681096,4.394449154672439,7.601402334583733
0,1,0,0,1.0986122886681096,4.51085950651685,7.170888478512505
1,0,0,0,0.6931471805599453,2.3978952727983707,6.621405651764134
1,0,0,0,1.3862943611198906,5.303304908059076,8.294299608857235
0,0,0,1,1.0986122886681096,5.484796933490655,8.922791623969637
0,0,1,0,1.3862943611198906,4.948759890378168,9.392745258631441
1,0,0,0,1.0986122886681096,4.605170185988092,7.3783837129967145
1,0,0,0,0.6931471805599453,3.8918202981106265,6.68586094706836
0,1,0,0,0.6931471805599453,3.713572066704308,6.621405651764134
0,1,0,0,0.6931471805599453,3.9318256327243257,6.621405651764134
0,0,0,1,0.6931471805599453,4.110873864173311,7.741099090035366
0,1,0,0,1.3862943611198906,5.303304908059076,7.650168700845001
0,0,1,0,1.3862943611198906,5.198497031265826,8.188966863648876
1,0,0,0,0.6931471805599453,3.713572066704308,6.621405651764134
1,0,0,0,0.6931471805599453,3.8918202981106265,6.803505257608338
0,0,0,1,1.0986122886681096,4.795790545596741,8.24301946898925
1,0,0,0,0.6931471805599453,2.3978952727983707,6.621405651764134
0,0,0,1,1.3862943611198906,5.3612921657094255,8.556606193773073
0,1,0,0,1.3862943611198906,4.110873864173311,6.803505257608338
1,0,0,0,0.6931471805599453,4.394449154672439,6.90875477931522
0,0,1,0,1.0986122886681096,5.942799375126701,9.105090961257085
0,1,0,0,1.3862943611198906,5.198497031265826,8.101980731853192
0,1,0,0,1.3862943611198906,5.14166355650266,7.8636512654486515
1,0,0,0,1.3862943611198906,5.303304908059076,8.853808274977197
0,1,0,0,2.0794415416798357,5.993961427306569,8.922791623969637
0,1,0,0,1.0986122886681096,3.9318256327243257,6.803505257608338
1,0,0,0,1.0986122886681096,5.860786223465865,9.210440366976517
0,1,0,0,1.0986122886681096,3.828641396489095,6.85751406254539
1,0,0,0,0.6931471805599453,4.394449154672439,7.0909098220799835
0,0,0,1,1.0986122886681096,4.709530201312334,8.853808274977197
0,0,1,0,1.6094379124341003,6.2166061010848646,8.699681400989514
1,0,0,0,1.3862943611198906,5.049856007249537,7.696667081526462
0,0,0,1,1.3862943611198906,5.707110264748875,8.517393171418904
1,0,0,0,0.6931471805599453,4.2626798770413155,6.85751406254539
0,1,0,0,0.6931471805599453,4.2626798770413155,6.7464121285733745
0,1,0,0,1.0986122886681096,6.55250788703459,8.987321812850125
0,0,1,0,1.3862943611198906,5.241747015059643,8.987321812850125
0,0,0,1,1.3862943611198906,5.303304908059076,8.294299608857235
0,0,1,0,1.6094379124341003,6.263398262591624,10.819798284210286
0,1,0,0,0.6931471805599453,5.771441123130016,8.987321812850125
0,0,0,1,1.3862943611198906,5.602118820879701,8.853808274977197
0,0,0,1,1.0986122886681096,5.8888779583328805,8.922791623969637
0,0,1,0,1.3862943611198906,5.3230099791384085,7.972810784121404
0,0,1,0,1.0986122886681096,5.198497031265826,8.412054873292933
0,0,1,0,1.6094379124341003,6.792344427470809,10.915106645867503
0,1,0,0,0.6931471805599453,3.58351893845611,6.580639137284949
0,0,0,1,1.0986122886681096,4.795790545596741,8.294299608857235
0,1,0,0,0.6931471805599453,4.2626798770413155,6.398594934535208
0,1,0,0,1.3862943611198906,4.2626798770413155,6.836259277277067
0,0,0,1,1.3862943611198906,5.564520407322694,7.824445930877619
0,1,0,0,1.3862943611198906,4.02535169073515,7.3783837129967145
0,0,0,1,1.6094379124341003,5.638354669333745,9.105090961257085
0,1,0,0,1.3862943611198906,5.081404364984463,7.824445930877619
