zona,area,preco,quartos
sul,300,10900,
sul,250,4500,
sul,130,2800,3
sul,135,4500,3
sul,300,12000,3
sul,150,3200,2
sul,650,37999,
sul,200,7000,
sul,212,5200,3
sul,750,28000,10
sul,500,25000,4
sul,80,2400,2
sul,260,4500,2
sul,120,4200,3
sul,120,4000,3
sul,168,10000,
sul,60,1250,2
sul,490,10000,5
sul,617,45000,
sul,60,1800,2
sul,140,13000,4
sul,120,4000,2
sul,,2200,
sul,,2300,
sul,301,3500,2
sul,295,12000,4
sul,80,2500,2
sul,300,12500,
sul,434,45000,
sul,124,5000,3
sul,160,2500,2
sul,60,1700,2
sul,23,1180,1
sul,170,5000,3
sul,35,1500,2
sul,200,4000,3
sul,83,2200,
sul,139,2500,3
sul,139,4000,
sul,60,1500,1
sul,350,18000,4
sul,200,5200,3
sul,70,2000,2
sul,112,2500,3
sul,,2500,
sul,260,2500,3
sul,196,3800,2
sul,230,4000,
sul,90,1100,2
sul,100,4450,3
sul,45,1000,3
sul,60,1350,1
sul,,4000,
sul,220,7000,
sul,300,13500,
sul,30,900,1
sul,35,800,1
sul,30,900,1
sul,231,8000,
sul,120,2500,2
sul,90,1600,2
sul,120,6500,
sul,60,1150,1
sul,182,4800,3
sul,217,7000,3
sul,300,5000,3
sul,280,9000,4
sul,275,7500,3
sul,250,7000,3
sul,398,7000,5
sul,212,5200,3
sul,300,10900,
sul,300,7500,
sul,299,7500,4
sul,156,7500,3
sul,320,7000,4
sul,135,4500,3
sul,180,7300,2
sul,280,7500,5
sul,650,37999,
sul,139,7000,
sul,270,7000,3
sul,250,7000,3
sul,100,4400,
sul,323,11000,3
sul,187,4300,3
sul,185,7000,
sul,168,10000,
sul,300,7400,
sul,180,5500,3
sul,172,4800,3
sul,120,3100,2
sul,270,7000,5
sul,120,1500,2
sul,240,2500,4
sul,125,3500,3
sul,260,8900,1
sul,190,4500,3
sul,80,7000,
sul,260,12000,3
sul,27,1700,1
sul,38,1400,2
sul,60,2300,1
sul,170,5000,3
sul,180,6500,3
sul,85,3000,2
sul,90,3000,2
sul,127,2300,2
sul,250,7000,5
sul,360,7500,
sul,199,6000,3
sul,120,7800,3
sul,120,3800,2
sul,120,7800,
sul,160,5000,3
sul,240,7500,2
sul,180,3200,2
sul,300,7500,3
sul,200,7000,
sul,152,7000,
sul,95,2550,
sul,50,750,2
sul,120,7500,5
sul,245,7200,2
sul,40,1500,1
sul,110,1500,3
sul,90,1250,1
sul,480,7500,5
sul,60,1600,2
sul,310,7800,5
sul,35,600,1
sul,242,6000,4
sul,406,9000,
sul,55,1600,1
sul,175,7000,3
sul,105,2500,1
sul,240,7350,4
sul,600,150000,
sul,90,2400,2
sul,349,35000,1
sul,,7000,
sul,150,3000,2
sul,30,700,1
sul,60,2000,2
norte,90,1000,1
norte,70,850,2
norte,70,600,1
norte,160,700,1
norte,40,720,1
norte,150,2000,5
norte,50,820,1
norte,58,1500,02
norte,30,1390,1
norte,40,800,1
norte,42,1100,2
norte,30,770,
norte,50,1700,2
norte,30,550,1
norte,45,950,2
norte,80,1200,2
norte,90,900,1
norte,40,1000,2
norte,30,1300,1
norte,70,1300,2
norte,70,1700,2
norte,80,1350,2
norte,70,950,2
norte,120,2000,2
norte,40,1100,2
norte,90,1300,3
norte,50,1200,2
norte,120,1800,3
norte,240,4000,3
norte,70,1400,2
norte,100,1400,2
norte,700,8000,
norte,400,7200,4
norte,180,3500,2
norte,150,3500,
norte,100,1800,2
norte,80,1150,2
norte,70,1200,2
norte,55,1300,2
norte,200,2000,3
norte,130,1800,3
norte,95,1900,2
norte,110,1100,1
norte,84,1800,2
norte,64,950,2
norte,95,1600,2
norte,160,2500,3
norte,80,1800,2
norte,40,850,1
norte,90,2200,2
norte,45,1050,1
norte,50,750,1
norte,40,850,2
norte,45,950,2
norte,362,5500,3
norte,55,900,1
norte,120,2400,3
norte,45,800,1
norte,42,1300,1
norte,30,900,1
norte,125,1100,2
norte,750,5800,5
norte,150,3000,3
norte,195,3300,3
norte,250,5000,4
norte,85,1900,2
norte,30,900,1
norte,250,3700,4
norte,125,2500,3
norte,250,2800,3
norte,160,3200,3
norte,570,9000,5
norte,50,950,1
norte,170,2600,3
norte,48,1200,1
norte,150,2800,2
norte,50,950,1
norte,70,2200,3
norte,180,2900,3
norte,248,7900,5
norte,96,2200,3
norte,300,4000,4
norte,100,2500,3
norte,90,1800,2
norte,45,950,2
norte,400,7500,7
norte,50,1000,1
norte,45,850,1
norte,40,900,1
norte,568,6000,5
norte,142,2990,2
norte,150,3500,2
norte,30,600,1
norte,120,4000,2
norte,35,1200,1
norte,100,2800,2
norte,90,2200,2
norte,40,950,1
norte,30,650,1
norte,350,8000,8
norte,45,850,2
norte,35,950,1
norte,46,750,1
norte,135,3200,3
norte,100,2300,3
norte,150,1300,2
norte,98,2500,3
norte,120,1580,2
norte,40,700,1
norte,30,850,1
norte,158,2300,3
norte,80,1400,3
norte,150,2900,3
norte,70,1150,1
norte,114,2000,2
norte,,250,
norte,,550,
norte,,500,
norte,,500,
norte,60,2000,
norte,,550,
norte,360,2700,2
norte,82,1500,3
norte,140,12000,
norte,40,500,1
norte,60,1300,2
norte,40,700,1
norte,50,750,1
norte,55,1000,2
norte,400,450,1
norte,35,700,1
norte,60,900,3
norte,70,1000,3
norte,40,550,1
norte,50,550,1
norte,40,650,1
norte,70,600,1
norte,90,700,2
norte,25,450,1
norte,60,1000,2
norte,90,1000,2
norte,70,1200,2
norte,60,650,1
norte,90,1100,3
norte,50,950,1
norte,55,700,1
norte,70,1800,2
norte,80,1100,2
norte,90,1300,2
norte,50,650,1
norte,90,1400,3
norte,90,700,1
norte,50,900,1
norte,35,700,1
norte,35,700,1
norte,80,750,1
norte,80,2000,5
norte,70,800,2
norte,45,700,1
norte,110,1800,3
norte,50,550,1
norte,40,700,1
norte,70,1600,1
norte,48,920,2
norte,70,700,1
norte,90,1050,2
norte,85,1900,5
norte,40,790,1
norte,48,1200,2
norte,30,550,1
norte,200,750,1
norte,50,650,1
norte,40,1500,2
norte,70,850,1
norte,70,930,3
norte,40,750,1
norte,60,1800,3
norte,360,950,2
norte,50,900,2
norte,70,1800,2
norte,90,950,2
norte,80,1100,3
norte,40,750,1
norte,90,1600,2
norte,50,1400,2
norte,110,1700,3
norte,50,550,1
norte,90,1300,2
norte,40,900,1
norte,50,650,1
norte,70,2500,4
norte,70,1300,2
norte,70,1400,2
norte,60,950,1
norte,35,700,1
norte,170,2499,3
norte,50,900,1
norte,40,750,1
norte,45,650,1
norte,40,800,1
norte,40,1200,1
norte,90,1600,2
norte,120,1600,3
norte,30,1000,1
norte,90,1800,2
norte,45,1300,2
norte,45,650,1
norte,74,2000,2
norte,200,2000,3
norte,80,1000,1
norte,125,1580,2
norte,30,700,1
norte,60,1500,2
norte,55,900,2
norte,200,1150,1
norte,55,1600,3
norte,70,1500,2
norte,60,1100,2
norte,48,800,1
norte,750,10500,6
norte,200,4000,3
norte,45,860,1
norte,180,2350,3
norte,35,720,1
norte,300,2400,3
norte,320,5500,3
norte,130,1900,2
norte,140,3000,2
norte,386,5500,4
norte,320,8000,1
norte,315,9700,4
norte,200,2100,3
norte,280,4500,4
norte,180,3300,3
norte,300,5500,6
norte,280,6700,4
norte,140,2100,3
norte,568,6000,5
norte,90,1500,
norte,70,1350,2
leste,50,850,1
leste,60,1500,2
leste,90,1800,3
leste,60,1300,2
leste,60,1300,2
leste,100,1600,2
leste,130,2000,4
leste,90,1700,3
leste,40,650,1
leste,35,800,2
leste,64,1400,2
leste,64,1200,2
leste,150,1600,4
leste,30,450,1
leste,,900,
leste,20,500,1
